wav,start,end,label,prob,pred
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.0,0.027,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.027,0.054,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.054,0.081,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.081,0.108,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.108,0.135,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.135,0.162,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.162,0.189,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.189,0.216,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.216,0.243,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.243,0.27,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.27,0.297,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.297,0.324,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.324,0.351,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.351,0.378,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.378,0.405,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.405,0.432,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.432,0.459,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.459,0.486,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.486,0.513,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.513,0.54,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.54,0.567,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.567,0.594,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.594,0.621,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.621,0.648,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.648,0.675,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.675,0.702,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.702,0.729,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.729,0.756,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.756,0.783,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.783,0.81,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.81,0.837,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.837,0.864,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.864,0.891,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.891,0.918,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.918,0.945,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.945,0.972,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.972,0.999,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,0.999,1.026,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.026,1.053,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.053,1.08,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.08,1.107,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.107,1.134,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.134,1.161,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.161,1.1851785598580509,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.1851785598580509,1.215,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.215,1.242,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.242,1.269,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.269,1.296,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.296,1.323,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.323,1.35,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.35,1.377,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.377,1.404,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.404,1.431,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.431,1.458,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.458,1.485,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.485,1.512,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.512,1.539,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.539,1.566,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.566,1.593,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.593,1.62,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.62,1.647,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.647,1.674,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.674,1.701,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.701,1.728,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.728,1.755,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.755,1.782,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.782,1.809,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.809,1.836,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.836,1.863,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.863,1.89,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.89,1.917,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.917,1.944,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.944,1.971,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.971,1.998,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,1.998,2.025,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.025,2.052,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.052,2.079,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.079,2.106,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.106,2.133,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.133,2.16,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.16,2.187,1,,0
