split,wav,frame_idx,time_s,token,label,prob,pred
train,./chunk_0_Tanya/chunk_0.wav,1038,28.026,अ,0,0.04558701440691948,0
train,./chunk_0_Tanya/chunk_0.wav,708,19.116,अ,0,0.4186403453350067,0
train,./chunk_4Tanya/chunk_4.wav,605,16.335,ए,0,0.26692894101142883,0
train,./chunk_4Tanya/chunk_4.wav,351,9.477,म,1,0.8577215075492859,1
train,./chunk_0_Tanya/chunk_0.wav,252,6.804,म,1,0.8557348847389221,1
train,./chunk_4Tanya/chunk_4.wav,336,9.072,ए,0,0.15242914855480194,0
train,./chunk_7_deepak/chunk_7.wav,1000,27.0,द,0,0.1724812239408493,0
train,./chunk_7_deepak/chunk_7.wav,925,24.975,क,0,0.23374055325984955,0
train,./chunk_4Tanya/chunk_4.wav,877,23.679,द,0,0.21963372826576233,0
train,./chunk_4Tanya/chunk_4.wav,557,15.039,अ,0,0.09430702775716782,0
train,./chunk_4Tanya/chunk_4.wav,376,10.152,अ,0,0.33089613914489746,0
train,./chunk_4Tanya/chunk_4.wav,288,7.776,न,0,0.5801423788070679,0
train,./chunk_4Tanya/chunk_4.wav,989,26.703,ए,0,0.741005003452301,1
train,./chunk_4Tanya/chunk_4.wav,908,24.516,म,1,0.6929086446762085,0
train,./chunk_7_deepak/chunk_7.wav,105,2.835,इ,0,0.2659946382045746,0
train,./chunk_7_deepak/chunk_7.wav,631,17.037,इ,0,0.4696657657623291,0
train,./chunk_7_deepak/chunk_7.wav,377,10.179,क,0,0.3058463931083679,0
train,./chunk_4Tanya/chunk_4.wav,187,5.049,अ,0,0.5562322735786438,0
train,./chunk_0_Tanya/chunk_0.wav,1041,28.107,अ,0,0.1901904195547104,0
train,./chunk_0_Tanya/chunk_0.wav,652,17.604,न,1,0.7715420722961426,1
train,./chunk_4Tanya/chunk_4.wav,452,12.204,र,0,0.4384032189846039,0
train,./chunk_7_deepak/chunk_7.wav,367,9.909,ज,0,0.6081340312957764,0
train,./chunk_0_Tanya/chunk_0.wav,103,2.781,र,0,0.48085224628448486,0
train,./chunk_7_deepak/chunk_7.wav,587,15.849,उ,0,0.032824836671352386,0
train,./chunk_4Tanya/chunk_4.wav,53,1.431,क,0,0.12418533116579056,0
train,./chunk_7_deepak/chunk_7.wav,128,3.456,थ,0,0.24510818719863892,0
train,./chunk_0_Tanya/chunk_0.wav,418,11.286,र,1,0.3795515298843384,0
train,./chunk_7_deepak/chunk_7.wav,57,1.539,इ,0,0.6071245074272156,0
train,./chunk_0_Tanya/chunk_0.wav,235,6.345,अ,0,0.269353985786438,0
train,./chunk_4Tanya/chunk_4.wav,307,8.289,अ,0,0.2403906285762787,0
train,./chunk_0_Tanya/chunk_0.wav,552,14.904,य,1,0.6802614331245422,0
train,./chunk_4Tanya/chunk_4.wav,577,15.579,ल,0,0.2738305330276489,0
